ell,D_ell,model,sigma_eff,z_whitened
2,225.895,455.75748674145746,333.1465736575504,-0.6899740382073951
3,936.92,434.20676735499796,834.3537817204702,0.6025180728591983
4,692.238,422.73061245629606,483.0879291067233,0.5578847479009659
5,1501.705,417.19967571460984,872.4185876922934,1.243102037926662
6,557.611,415.8112185858368,291.51787922858284,0.48641881516631164
7,1152.643,417.60179720208157,533.25785997175,1.3783973157692568
8,615.846,421.98415047090776,261.82769997777643,0.7404176469699232
9,697.821,428.56471636623405,286.92313791846874,0.9384265263064182
10,803.658,437.0599530329202,306.3828547555696,1.19653577632322
11,869.58,447.2536245742041,312.53206586604836,1.3513057428379385
12,764.074,458.97317344751474,264.0567135920852,1.1554367332761892
13,599.003,472.0758054653469,202.14242852578133,0.6279097142560787
14,808.139,486.4398714809506,252.4445924929481,1.2743355892166155
15,1022.111,501.9593036748895,306.34001213366764,1.6979554603469453
16,621.292,518.5398966411782,189.21481508026793,0.5430447045873906
17,1035.378,536.0967466523573,294.5512993134176,1.6950570393389504
18,674.593,554.5524424280977,193.34370106826762,0.6208661410154613
19,951.642,573.8357575764759,261.215434921393,1.4463396565261029
20,659.863,593.8806862943864,178.21779751984826,0.37023414397355686
21,601.924,614.6257190588319,166.87634804995582,-0.07611455552125083
22,605.295,636.0132893241554,160.9063127677582,-0.1909079189981329
23,748.519,657.9893441306676,190.76634048268477,0.47455780532493597
24,850.496,680.5030058441857,214.1294873384794,0.7938794244022188
25,814.268,703.5063018080998,206.12413042693473,0.5373543503251414
26,823.803,726.9539452018294,199.67598573827206,0.48503105889316517
27,1004.022,750.8031549127911,231.66573740784912,1.0930353703595599
28,1149.889,775.0135054076147,261.7023682789394,1.4324497598463402
29,979.567,799.5467998594397,222.35097480925427,0.8096218165672185
30,1102.80565,824.3669614332215,286.8762064304098,0.9705882967130003
31,764.235896,849.4399388372103,279.8993397631398,-0.3044095884946096
32,1543.85108,874.7336231434018,296.95382218105556,2.253271070707522
33,1077.26738,900.2177735505152,284.8006011143296,0.621661631881214
34,979.159409,925.8639502708602,282.6234690554491,0.18857407315555783
35,739.911555,951.6454531103938,278.4562418576353,-0.7603848155741673
36,1122.51626,977.5372646103422,285.64066097431385,0.5075572745670657
37,1523.72049,1003.515996851019,296.10572010685144,1.7568201416752844
38,1285.91266,1029.5598412003617,289.99782170415295,0.8839818771506557
39,1243.83149,1055.6485204329176,289.35854877304746,0.6503452908684579
40,1715.07099,1081.763242758855,303.0822537525607,2.0895573376532415
41,1427.08779,1107.8866573932205,295.1315760986413,1.0815553416083596
42,1391.08758,1134.0028113686365,294.7939396428661,0.8720829503578459
43,1235.15157,1160.097107353344,291.5563961069492,0.25742691173588395
44,1399.71962,1186.1562622842148,296.4503929723404,0.720401668469744
45,1050.22476,1212.1682666632398,289.0541260646569,-0.5602532261622708
46,1148.97828,1238.1223443976498,292.03258748373554,-0.3052538251492724
47,1939.3329,1264.0089130899162,315.48126660131464,2.140615175618386
48,984.32799,1289.8195447053374,290.4514902073294,-1.0517816744106636
49,1720.0661,1315.546926562482,310.0390926659575,1.3047360252513551
50,1707.30702,1341.184822606391,310.58145898228116,1.1788282487735253
51,1039.42852,1366.7280349364598,294.49854877860247,-1.1113790417436538
52,1603.6105,1392.1723655707842,309.3788568930147,0.6834278740073454
53,1118.55429,1417.5145784370056,298.1922576320737,-1.0025756228918579
54,1173.86271,1442.7523615862497,300.4555978205229,-0.8949397299858954
55,1609.06096,1467.884289632285,312.6245951542434,0.4515852960899032
56,1523.29448,1492.9097864222965,311.2803151223275,0.09761199825874908
